43	1143	1
43	1916	1
43	1918	1
43	4448	1
43	4453	1
70	1034059	1
70	1034589	1
70	1034590	1
70	1037807	1
72	30101	1
72	1031463	1
72	1037807	1
72	1038436	1
98	742	3
98	1528	1
98	2401	1
98	2403	1
98	3768	1
98	26121	1
98	26122	2
98	28713	1
98	29198	1
98	30263	1
98	30264	1
98	30595	2
98	1031065	1
98	1031644	6
163	758	1
163	4239	1
163	4432	1
163	1036318	1
163	1036972	1
177	1035153	1
177	1038620	1
177	1042740	1
177	1042741	1
177	1042742	1
177	1042744	1
177	149000000943	1
395	1584	1
395	1617	1
395	1823	2
395	30215	1
395	1034409	1
443	373	1
443	1073	1
443	1030578	1
443	1031882	1
443	1033643	1
443	1035216	1
443	149000000517	1
484	197	1
484	1747	1
484	1034506	1
484	1037947	1
752	289	1
752	320	1
752	377	1
752	877	1
752	1442	1
752	2644	1
752	3494	1
752	3541	1
752	3864	1
752	26067	1
752	26697	1
752	28489	1
752	29875	1
752	1033647	1
752	1035448	1
752	1038780	1
752	1040692	1
752	1040804	2
752	1042135	1
752	1042773	1
1018	26221	1
1018	29241	1
1018	1037852	1
1018	1039145	1
1357	1823	1
1357	26123	1
1357	28423	1
1357	28461	1
1357	28462	1
1564	3986	1
1564	4200	1
1564	29258	1
1564	30103	1
1616	1031107	1
1616	1031119	1
1616	1031160	1
1616	1031281	1
1616	1033860	1
1616	1035231	1
2266	1033467	1
2266	1033468	1
2266	1039123	1
2266	1041379	1
2447	571	1
2447	843	1
2447	1561	2
2447	1617	1
2447	29986	1
2447	1033553	1
2447	1034592	1
2447	1034603	1
2447	1034913	1
2590	742	2
2590	920	3
2590	2592	1
2590	3513	2
2590	3603	1
2590	30205	1
2590	1038466	1
2590	1039471	1
2590	1041289	1
2590	1041311	1
2996	26884	1
2996	1031003	1
2996	1037981	1
2996	1038466	1
2996	1041621	1
3727	1823	1
3727	26245	2
3727	29986	1
3832	29989	1
3832	1030578	1
3832	1034359	1
3832	1042269	1
3960	2625	1
3960	3180	1
3960	26160	1
3960	27293	1
3960	1030382	1
4129	29988	1
4129	29991	1
4129	1038837	2
4129	149000000943	1
4278	1109	2
4278	1617	1
4278	3620	1
4278	25943	1
4278	26581	1
4278	29171	1
4278	1034580	1
4278	1035153	1
4278	1035569	1
4278	1037533	1
4287	1623	1
4287	1833	1
